no,topik,subtopik,soal,jawaban,contoh,konteks,link_sumber_buku,soal_len,jawaban_len
11,benda dan sifatnya,hubungan sifat bahan dan bahan penyusunnya,apa alasan kertas harus dibuat dari serat kayu?,"kertas dibuat dari serat kayu karena serat kayu bisa diolah menjadi lembaran yang ringan, tipis, dan dapat digunakan untuk menulis, mencetak, atau membungkus. setiap jenis kertas juga dibuat dengan ketebalan dan pori-pori yang berbeda sesuai kegunaannya.","kertas hvs dipakai untuk menulis, kertas karton untuk sampul, dan kertas tisu untuk mengelap keringat. contoh ini memperlihatkan bahwa sifat bahan menentukan apakah benda cocok dipakai untuk kebutuhan tertentu dalam kehidupan sehari-hari.","setiap bahan memiliki sifat yang berbeda seperti kuat, lentur, halus, tebal, atau tahan air. sifat-sifat itu menentukan apakah bahan cocok dipakai untuk benda tertentu dalam kehidupan sehari-hari.",https: www.omahbse.com ktsp file sd-5 ipa 013,8,36
12,benda dan sifatnya,hubungan sifat bahan dan bahan penyusunnya,mengapa kertas harus dibuat dari serat kayu?,"kertas dibuat dari serat kayu karena serat kayu bisa diolah menjadi lembaran yang ringan, tipis, dan dapat digunakan untuk menulis, mencetak, atau membungkus. setiap jenis kertas juga dibuat dengan ketebalan dan pori-pori yang berbeda sesuai kegunaannya.","kertas hvs dipakai untuk menulis, kertas karton untuk sampul, dan kertas tisu untuk mengelap keringat. contoh ini memperlihatkan bahwa sifat bahan menentukan apakah benda cocok dipakai untuk kebutuhan tertentu dalam kehidupan sehari-hari.","setiap bahan memiliki sifat yang berbeda seperti kuat, lentur, halus, tebal, atau tahan air. sifat-sifat itu menentukan apakah bahan cocok dipakai untuk benda tertentu dalam kehidupan sehari-hari.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,36
13,benda dan sifatnya,perubahan benda,apa yang dimaksud perubahan fisika?,"perubahan fisika adalah perubahan benda yang tidak menghasilkan zat baru. benda hanya berubah bentuk, wujud, atau keadaan sementara, dan biasanya masih bisa kembali seperti semula.","es yang mencair menjadi air lalu dibekukan lagi adalah contoh perubahan fisika. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https: www.omahbse.com ktsp file sd-5 ipa 013,5,25
14,benda dan sifatnya,perubahan benda,apa itu perubahan fisika?,"perubahan fisika adalah perubahan benda yang tidak menghasilkan zat baru. benda hanya berubah bentuk, wujud, atau keadaan sementara, dan biasanya masih bisa kembali seperti semula.","es yang mencair menjadi air lalu dibekukan lagi adalah contoh perubahan fisika. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https: www.omahbse.com ktsp file sd-5 ipa 013,4,25
15,benda dan sifatnya,perubahan benda,bisakah kamu menjelaskan perubahan fisika?,"perubahan fisika adalah perubahan benda yang tidak menghasilkan zat baru. benda hanya berubah bentuk, wujud, atau keadaan sementara, dan biasanya masih bisa kembali seperti semula.","es yang mencair menjadi air lalu dibekukan lagi adalah contoh perubahan fisika. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https: www.omahbse.com ktsp file sd-5 ipa 013,5,25
16,benda dan sifatnya,perubahan benda,apa yang dimaksud perubahan kimia?,perubahan kimia adalah perubahan yang menghasilkan zat baru dan bersifat tetap. benda yang sudah berubah secara kimia tidak dapat kembali seperti semula karena sifatnya sudah berbeda.,"kayu yang dibakar menjadi arang tidak bisa diubah kembali menjadi kayu seperti semula. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https: www.omahbse.com ktsp file sd-5 ipa 013,5,26
17,benda dan sifatnya,perubahan benda,apa itu perubahan kimia?,perubahan kimia adalah perubahan yang menghasilkan zat baru dan bersifat tetap. benda yang sudah berubah secara kimia tidak dapat kembali seperti semula karena sifatnya sudah berbeda.,"kayu yang dibakar menjadi arang tidak bisa diubah kembali menjadi kayu seperti semula. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https: www.omahbse.com ktsp file sd-5 ipa 013,4,26
18,benda dan sifatnya,perubahan benda,bisakah kamu menjelaskan perubahan kimia?,perubahan kimia adalah perubahan yang menghasilkan zat baru dan bersifat tetap. benda yang sudah berubah secara kimia tidak dapat kembali seperti semula karena sifatnya sudah berbeda.,"kayu yang dibakar menjadi arang tidak bisa diubah kembali menjadi kayu seperti semula. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https: www.omahbse.com ktsp file sd-5 ipa 013,5,26
19,benda dan sifatnya,perubahan benda,kenapa air yang dipanaskan terus-menerus bisa habis?,"air yang dipanaskan terus-menerus akan berubah menjadi uap air melalui proses penguapan. karena uap air lepas ke udara, lama-kelamaan air di dalam panci akan berkurang bahkan habis.","saat merebus air terlalu lama, jumlah air di panci semakin sedikit sampai akhirnya tinggal uap saja. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,27
20,benda dan sifatnya,perubahan benda,apa alasan air yang dipanaskan terus-menerus bisa habis?,"air yang dipanaskan terus-menerus akan berubah menjadi uap air melalui proses penguapan. karena uap air lepas ke udara, lama-kelamaan air di dalam panci akan berkurang bahkan habis.","saat merebus air terlalu lama, jumlah air di panci semakin sedikit sampai akhirnya tinggal uap saja. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https: www.omahbse.com ktsp file sd-5 ipa 013,8,27
21,benda dan sifatnya,perubahan benda,mengapa air yang dipanaskan terus-menerus bisa habis?,"air yang dipanaskan terus-menerus akan berubah menjadi uap air melalui proses penguapan. karena uap air lepas ke udara, lama-kelamaan air di dalam panci akan berkurang bahkan habis.","saat merebus air terlalu lama, jumlah air di panci semakin sedikit sampai akhirnya tinggal uap saja. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,27
22,benda dan sifatnya,perubahan benda,mengapa besi bisa berkarat?,"besi bisa berkarat karena bereaksi dengan udara atau uap air, terutama di tempat yang lembap. karat membuat besi berubah warna menjadi hitam kecokelatan, menjadi rapuh, dan mudah patah.","paku yang disimpan di tempat lembap dalam waktu lama biasanya muncul karat di permukaannya. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https: www.omahbse.com ktsp file sd-5 ipa 013,4,28
23,benda dan sifatnya,perubahan benda,apa alasan besi bisa berkarat?,"besi bisa berkarat karena bereaksi dengan udara atau uap air, terutama di tempat yang lembap. karat membuat besi berubah warna menjadi hitam kecokelatan, menjadi rapuh, dan mudah patah.","paku yang disimpan di tempat lembap dalam waktu lama biasanya muncul karat di permukaannya. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https: www.omahbse.com ktsp file sd-5 ipa 013,5,28
24,benda dan sifatnya,perubahan benda,kenapa besi bisa berkarat?,"besi bisa berkarat karena bereaksi dengan udara atau uap air, terutama di tempat yang lembap. karat membuat besi berubah warna menjadi hitam kecokelatan, menjadi rapuh, dan mudah patah.","paku yang disimpan di tempat lembap dalam waktu lama biasanya muncul karat di permukaannya. peristiwa ini menunjukkan bahwa benda dapat berubah wujud, bentuk, atau susunan sifatnya sesuai proses yang dialami.","benda dapat mengalami perubahan fisika atau perubahan kimia. ada perubahan yang hanya mengubah wujud atau bentuk, dan ada pula perubahan yang menghasilkan zat baru.",https: www.omahbse.com ktsp file sd-5 ipa 013,4,28
25,benda dan sifatnya,sifat bahan,mengapa benda dibuat dari bahan yang berbeda-beda?,benda dibuat dari bahan yang berbeda-beda karena setiap bahan memiliki sifat yang berbeda dan dipakai sesuai kegunaannya.,"buku dibuat dari kertas, sedangkan ember dibuat dari plastik karena keduanya punya fungsi yang berbeda.","sifat bahan menentukan apakah benda cocok dipakai untuk menulis, menampung air, atau melindungi tubuh.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,17
26,benda dan sifatnya,sifat bahan,kenapa benda dibuat dari bahan yang berbeda-beda?,benda dibuat dari bahan yang berbeda-beda karena setiap bahan memiliki sifat yang berbeda dan dipakai sesuai kegunaannya.,"buku dibuat dari kertas, sedangkan ember dibuat dari plastik karena keduanya punya fungsi yang berbeda.","sifat bahan menentukan apakah benda cocok dipakai untuk menulis, menampung air, atau melindungi tubuh.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,17
27,benda dan sifatnya,sifat bahan,bagaimana benda dibuat dari bahan yang berbeda-beda?,benda dibuat dari bahan yang berbeda-beda karena setiap bahan memiliki sifat yang berbeda dan dipakai sesuai kegunaannya.,"buku dibuat dari kertas, sedangkan ember dibuat dari plastik karena keduanya punya fungsi yang berbeda.","sifat bahan menentukan apakah benda cocok dipakai untuk menulis, menampung air, atau melindungi tubuh.",https: www.omahbse.com ktsp file sd-5 ipa 013,7,17
28,benda dan sifatnya,sifat bahan,apa yang dimaksud benda elastis?,benda elastis adalah benda yang dapat kembali ke bentuk semula setelah ditarik atau ditekan.,karet gelang bisa ditarik memanjang lalu kembali ke bentuk asal setelah dilepaskan.,sifat elastis membuat benda cocok untuk penggunaan yang membutuhkan kelenturan.,https: www.omahbse.com ktsp file sd-5 ipa 013,5,14
29,benda dan sifatnya,sifat bahan,apa itu benda elastis?,benda elastis adalah benda yang dapat kembali ke bentuk semula setelah ditarik atau ditekan.,karet gelang bisa ditarik memanjang lalu kembali ke bentuk asal setelah dilepaskan.,sifat elastis membuat benda cocok untuk penggunaan yang membutuhkan kelenturan.,https: www.omahbse.com ktsp file sd-5 ipa 013,4,14
30,benda dan sifatnya,sifat bahan,bagaimana benda elastis?,benda elastis adalah benda yang dapat kembali ke bentuk semula setelah ditarik atau ditekan.,karet gelang bisa ditarik memanjang lalu kembali ke bentuk asal setelah dilepaskan.,sifat elastis membuat benda cocok untuk penggunaan yang membutuhkan kelenturan.,https: www.omahbse.com ktsp file sd-5 ipa 013,3,14
31,benda dan sifatnya,sifat bahan,apa yang dimaksud benda tahan air?,benda tahan air adalah benda yang tidak mudah rusak atau menyerap air saat terkena cairan.,jas hujan plastik membantu tubuh tetap kering saat hujan deras.,sifat tahan air membuat benda cocok dipakai di tempat basah atau saat hujan.,https: www.omahbse.com ktsp file sd-5 ipa 013,6,15
32,benda dan sifatnya,sifat bahan,apa itu benda tahan air?,benda tahan air adalah benda yang tidak mudah rusak atau menyerap air saat terkena cairan.,jas hujan plastik membantu tubuh tetap kering saat hujan deras.,sifat tahan air membuat benda cocok dipakai di tempat basah atau saat hujan.,https: www.omahbse.com ktsp file sd-5 ipa 013,5,15
33,benda dan sifatnya,sifat bahan,bagaimana benda tahan air?,benda tahan air adalah benda yang tidak mudah rusak atau menyerap air saat terkena cairan.,jas hujan plastik membantu tubuh tetap kering saat hujan deras.,sifat tahan air membuat benda cocok dipakai di tempat basah atau saat hujan.,https: www.omahbse.com ktsp file sd-5 ipa 013,4,15
34,benda dan sifatnya,perubahan benda,apa perbedaan perubahan fisika dan perubahan kimia?,"perubahan fisika tidak menghasilkan zat baru, sedangkan perubahan kimia menghasilkan zat baru dan sifatnya sulit kembali seperti semula.","es yang mencair adalah perubahan fisika, sedangkan kayu yang dibakar menjadi arang adalah perubahan kimia.",kedua perubahan itu sering terjadi dalam kehidupan sehari-hari tetapi hasilnya berbeda.,https: www.omahbse.com ktsp file sd-5 ipa 013,7,18
35,benda dan sifatnya,perubahan benda,mengapa besi bisa berkarat?,"besi bisa berkarat karena bereaksi dengan udara dan uap air, terutama di tempat yang lembap.",paku yang dibiarkan di tempat basah biasanya muncul karat di permukaannya.,karat membuat besi menjadi rapuh dan mudah rusak.,https: www.omahbse.com ktsp file sd-5 ipa 013,4,15
36,benda dan sifatnya,perubahan benda,kenapa besi bisa berkarat?,"besi bisa berkarat karena bereaksi dengan udara dan uap air, terutama di tempat yang lembap.",paku yang dibiarkan di tempat basah biasanya muncul karat di permukaannya.,karat membuat besi menjadi rapuh dan mudah rusak.,https: www.omahbse.com ktsp file sd-5 ipa 013,4,15
37,benda dan sifatnya,perubahan benda,bagaimana besi bisa berkarat?,"besi bisa berkarat karena bereaksi dengan udara dan uap air, terutama di tempat yang lembap.",paku yang dibiarkan di tempat basah biasanya muncul karat di permukaannya.,karat membuat besi menjadi rapuh dan mudah rusak.,https: www.omahbse.com ktsp file sd-5 ipa 013,4,15
38,bumi dan peristiwa alam,struktur bumi,lapisan bumi terdiri dari apa saja?,"struktur bumi terdiri dari atmosfer, kerak bumi, mantel bumi, inti bumi luar, dan inti bumi dalam. masing-masing lapisan memiliki sifat dan fungsi yang berbeda untuk mendukung kehidupan di bumi.","atmosfer melindungi bumi dari sinar ultraviolet, sedangkan kerak bumi menjadi tempat manusia tinggal dan melakukan kegiatan. lapisan bumi yang berbeda memiliki peran penting dalam menjaga kehidupan di permukaan bumi.",bumi terdiri atas beberapa lapisan yang tersusun dari bagian luar sampai bagian dalam. setiap lapisan memiliki sifat dan fungsi yang berbeda untuk menunjang kehidupan di permukaan bumi.,https: www.omahbse.com ktsp file sd-5 ipa 013,6,29
39,bumi dan peristiwa alam,struktur bumi,sebutkan lapisan-lapisan bumi.,"struktur bumi terdiri dari atmosfer, kerak bumi, mantel bumi, inti bumi luar, dan inti bumi dalam. masing-masing lapisan memiliki sifat dan fungsi yang berbeda untuk mendukung kehidupan di bumi.","atmosfer melindungi bumi dari sinar ultraviolet, sedangkan kerak bumi menjadi tempat manusia tinggal dan melakukan kegiatan. lapisan bumi yang berbeda memiliki peran penting dalam menjaga kehidupan di permukaan bumi.",bumi terdiri atas beberapa lapisan yang tersusun dari bagian luar sampai bagian dalam. setiap lapisan memiliki sifat dan fungsi yang berbeda untuk menunjang kehidupan di permukaan bumi.,https: www.omahbse.com ktsp file sd-5 ipa 013,3,29
40,bumi dan peristiwa alam,struktur bumi,apa saja bagian penyusun struktur bumi?,"struktur bumi terdiri dari atmosfer, kerak bumi, mantel bumi, inti bumi luar, dan inti bumi dalam. masing-masing lapisan memiliki sifat dan fungsi yang berbeda untuk mendukung kehidupan di bumi.","atmosfer melindungi bumi dari sinar ultraviolet, sedangkan kerak bumi menjadi tempat manusia tinggal dan melakukan kegiatan. lapisan bumi yang berbeda memiliki peran penting dalam menjaga kehidupan di permukaan bumi.",bumi terdiri atas beberapa lapisan yang tersusun dari bagian luar sampai bagian dalam. setiap lapisan memiliki sifat dan fungsi yang berbeda untuk menunjang kehidupan di permukaan bumi.,https: www.omahbse.com ktsp file sd-5 ipa 013,6,29
41,bumi dan peristiwa alam,proses pembentukan tanah,bagaimana tanah terbentuk dari batuan?,"tanah terbentuk melalui proses pelapukan batuan dalam waktu yang sangat lama. batuan yang terkena suhu, air, angin, atau aktivitas makhluk hidup akan hancur menjadi bagian yang lebih kecil hingga berubah menjadi tanah.","batu di pinggir pantai yang terus dihantam ombak lama-kelamaan menjadi lebih kecil dan akhirnya menjadi bagian dari tanah. proses ini berlangsung sangat lama dan dipengaruhi oleh cuaca, air, angin, serta aktivitas makhluk hidup.","tanah terbentuk sangat lambat melalui pelapukan batuan. proses ini dipengaruhi air, angin, suhu, dan aktivitas makhluk hidup yang mengikis batuan sedikit demi sedikit.",https: www.omahbse.com ktsp file sd-5 ipa 013,5,32
42,bumi dan peristiwa alam,proses pembentukan tanah,jelaskan bagaimana tanah terbentuk dari batuan.,"tanah terbentuk melalui proses pelapukan batuan dalam waktu yang sangat lama. batuan yang terkena suhu, air, angin, atau aktivitas makhluk hidup akan hancur menjadi bagian yang lebih kecil hingga berubah menjadi tanah.","batu di pinggir pantai yang terus dihantam ombak lama-kelamaan menjadi lebih kecil dan akhirnya menjadi bagian dari tanah. proses ini berlangsung sangat lama dan dipengaruhi oleh cuaca, air, angin, serta aktivitas makhluk hidup.","tanah terbentuk sangat lambat melalui pelapukan batuan. proses ini dipengaruhi air, angin, suhu, dan aktivitas makhluk hidup yang mengikis batuan sedikit demi sedikit.",https: www.omahbse.com ktsp file sd-5 ipa 013,6,32
43,bumi dan peristiwa alam,proses pembentukan tanah,ceritakan bagaimana tanah terbentuk dari batuan.,"tanah terbentuk melalui proses pelapukan batuan dalam waktu yang sangat lama. batuan yang terkena suhu, air, angin, atau aktivitas makhluk hidup akan hancur menjadi bagian yang lebih kecil hingga berubah menjadi tanah.","batu di pinggir pantai yang terus dihantam ombak lama-kelamaan menjadi lebih kecil dan akhirnya menjadi bagian dari tanah. proses ini berlangsung sangat lama dan dipengaruhi oleh cuaca, air, angin, serta aktivitas makhluk hidup.","tanah terbentuk sangat lambat melalui pelapukan batuan. proses ini dipengaruhi air, angin, suhu, dan aktivitas makhluk hidup yang mengikis batuan sedikit demi sedikit.",https: www.omahbse.com ktsp file sd-5 ipa 013,6,32
44,bumi dan peristiwa alam,siklus air,kenapa air di bumi tidak habis-habis?,"air di bumi tidak habis karena terus mengalami siklus air. air menguap karena panas matahari, membentuk awan, lalu turun kembali sebagai hujan dan mengisi permukaan bumi lagi.","air laut menguap saat panas, lalu menjadi awan, turun sebagai hujan, dan akhirnya mengalir kembali ke sungai dan laut. siklus ini menjaga ketersediaan air di bumi agar tidak habis meskipun digunakan terus-menerus.","air di bumi terus berputar melalui penguapan, pengembunan, dan hujan. siklus ini menjaga ketersediaan air di bumi agar tetap dapat digunakan makhluk hidup.",https: www.omahbse.com ktsp file sd-5 ipa 013,6,27
